,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F001683,"Breadcrumbs, white",Crisp crumbs crushed from white bread which has been dried and packaged before sale. Contains added folic acid and iodised salt.,"1,603",14,4.1,0.5,68.5,4.6,650
F000233,"Bagel, from white flour, commercial",A ring of baked yeast dough with a chewy centre and a crusty outside. It is typically 8-10cm in diameter. Usually poached in water or steamed before being baked. Contains added folic acid and iodised salt. Ready to eat.,"1,115",10.4,1.4,0.2,50.7,6.2,490
F001463,"Bread, from white flour","Commercially prepared, sliced or unsliced bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodine and thiamin. Ready to eat.","1,053",9.5,2,0.28,46.2,3.1,439
F001528,"Bread, from white flour, Italian-style, commercial","Commercially prepared, Italian style bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodised salt and thiamin.","1,072",9,2.5,0.44,46.8,2,500
F001671,"Bread, from white flour, Turkish","Commercial yeast leavened, thin, soft-crusted white bread typically prepared from white wheat flour, olive oil, water, yeast, sugar, salt and sesame seeds. Contains added folic acid, iodised  salt and thiamin.","1,038",7.8,2.8,0.36,45.5,2.2,530
F001537,"Bread, from white flour, sour dough, commercial","Commercially prepared sour dough made from white, wheaten bread-making flour and other permitted ingredients. Contains added thiamin, folic acid and iodised salt. Ready to eat.",961,8.8,1.4,0.45,42.9,1.2,490
F001545,"Bread, organic","Commercially prepared, sliced or unsliced bread made from white, wholemeal or rye wheaten bread-making flour and other permitted ingredients. May contain added folic acid and iodine, in addition to thiamin.","1,035",11.6,2.9,0.57,40.3,1.3,490
F001653,"Bread, pizza base, commercial","Pre-prepared pizza bases made from white flour, purchased in supermarkets. Does not contain any toppings. Usually contains added folic acid, thiamin and iodised salt. ","1,113",8.6,3.3,0.52,48.5,3.7,390
F001353,"Bread roll, from white flour","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin.","1,048",9.3,2.9,0.47,44.6,3.4,380
F001553,"Bread, from wholemeal flour","Commercially prepared, sliced or unsliced bread made from wheat flour containing all the milled constituents of the wheat grain. Contains added folic acid, iodine and thiamin.",996,10.4,2.5,0.39,39.2,3.2,418
F001360,"Bread roll, from wholemeal flour","Commercially prepared bread made from wholemeal, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.","1,098",10.1,3,0.53,45.2,3,560
F001621,"Bread, mixed grain","Commercially prepared sliced or unsliced bread made from white and/or wholemeal flour with added kibbled grains. Contains added folic acid, iodised salt and thiamin.","1,080",10.7,4.5,0.58,39.8,2.5,409
F001365,"Bread roll, mixed grain","Commercially prepared bread made from white and/or wholemeal flour with added kibbled grains. Dough shaped into a single serve before baking. Contains added folic acid, iodised salt and thiamin.","1,048",12.2,3,0.45,40.3,2.3,660
F001658,"Bread, pumpernickel, commercial","Commercially prepared bread made from a mixture of rye flour, rye meal and kibbled or cracked rye grains, resulting in a dark brown colour. Contains added folic acid, iodised salt, and thiamin. ",906,6.4,1.6,0.31,39.1,4.3,730
F001431,"Bread, from rye flour, dark, commercial","Commercially prepared bread made from rye flour, or a combination of rye and wheat flour. Contains added folic acid, iodised salt and thiamin.",970,8.5,2,0.37,40.8,2.5,530
F001440,"Bread, from rye flour, light, commercial","Commercially prepared bread made from rye flour, or a combination of rye and wheat flour, that is lighter and softer with a milder flavour than dark rye bread. Contains added folic acid, iodised salt and thiamin.","1,059",9,2.4,0.52,45.6,2.2,430
F001450,"Bread, from rye flour, sour dough","Commercially prepared sour dough made from white, wheaten bread-making flour and rye flour and other permitted ingredients. Contains added thiamin, folic acid and iodised salt.",982,9.2,1.6,0.31,42.7,2,510
F001468,"Bread, from white flour, added fibre","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added fibre and/or added high amylose maize starch, folic acid, iodised salt and thiamin.","1,035",9.7,1.7,0.26,43.6,2.5,448
F001484,"Bread, from white flour, added omega-3 polyunsaturates","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added omega-3 fatty acids, folic acid, iodised salt and thiamin.","1,057",9.1,2.1,0.5,46.6,2.4,448
F001543,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe","Commercially prepared bread made from white, wheaten Jackaroo brand bread-making flour specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1 and folate, iron and other permitted ingredients.","1,056",8.3,2.3,0.35,45.7,3.8,410
F001603,"Bread, gluten free","Commercially prepared bread made from grains other than wheat such as buckwheat groats, cornmeal, rice and quinoa. May contain added folic acid and iodised salt. Ready to eat.",891,5.5,3.9,0.51,36.6,2.6,526
F010407,"Bread, brioche","Rich bread, bun or roll made from yeasted wheat flour, eggs, and butter or other fat. May contain added folic acid and iodised salt.","1,364",9.5,10.6,3.62,46.5,11.8,400
F001457,"Bread, from white flour, commercial, added dried fruit","Commercially prepared bread made from white wheat flour and containing 10- 25% added dried fruit. Contains added folic acid, iodised salt and thiamin.","1,129",8.8,3.7,0.75,47.3,18.1,312
F001940,"Bun, sweet, with dried fruit, uniced","Commercially prepared sweet bun made from yeasted wheat flour, containing added dried fruit, with sugar glaze on the top. Contains added folic acid and iodised salt.","1,259",6.5,5,0.93,55.2,22.3,337
F003313,"Crumpet, from white flour, toasted","Commercially prepared, batter-based product containing white, wheat flour, approximately 10 cm diameter and 1cm thick. Batter is leavened with yeast or with chemical agents and contains added salt and preservatives. Cooked on one side only and has an open honeycomb structure on the top surface. Contains added folic acid. Toasted until lightly brown.",933,7.1,1.2,0.31,43.3,2.6,860
F005896,"Muffin, English style, from white flour",A round yeasted dough made from white wheat flour (approximately 8.5 cm in diameter and 2 cm thick) that has been baked. Contains added folic acid and iodised salt.,939,10.1,2.1,0.34,38.7,1.7,418
F001708,"Breakfast cereal, flakes of corn, unfortified",Breakfast cereal made from flakes of corn with added salt and sugar. Does not contain added vitamins or minerals.,"1,566",7.3,2.9,0.39,75.6,7.7,270
F001701,"Breakfast cereal, flakes of corn, added vitamins & minerals (Kellogg's Cornflakes)","Breakfast cereal made from flakes of corn with added vitamins B2, B3, B6, E and folic acid, iron and zinc.","1,634",7.9,1.8,0.29,81.8,8.9,485
F001755,"Breakfast cereal, mixed grain (wheat, corn, rice & oat), flakes, dried fruit & nuts, added vitamins & minerals (Kellogg's Sustain)","Breakfast cereal made from flakes of wheat, rice, oats and corn with added dried fruit, nuts and salt. Contains added vitamins B2, B3, B6, folic acid and iron and zinc.","1,526",8.3,3.5,0.4,70.3,18.2,120
F001788,"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified (Be Natural Honey Flakes)","Breakfast cereal made from flakes of wheat, oats, rice and triticale with added honey, sugar and salt. Does not contain any added vitamins and minerals.","1,500",8.4,4.1,0.66,65,11.9,220
F001720,"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins & minerals (Kellogg's Special K)","Breakfast cereal made from flakes of lightly toasted rice and wheat grains with sugar and salt added. Contains added vitamins B2, B3, B6, D and folic acid and calcium, iron and zinc.","1,682",18.2,4.1,0.78,70.5,13.2,474
F001767,"Breakfast cereal, mixed grain (wheat, oat & corn), added vitamins & minerals (Kellogg's Nutri-grain)","Breakfast cereal made from wheat, oatmeal and maize flour with added sugar and salt extruded into various shapes before packaging. Contains added vitamins B2, B3, B6 and folic acid and calcium, iron and zinc.","1,579",23.3,2.5,0.4,62.8,28,602
F001733,"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins & minerals (Kellogg's Just Right)","Breakfast cereal made from flakes of wheat, oats and triticale with dried sultanas, apricot, sugar and salt. Contains added vitamins B2, B3, B6 and folic acid and iron and zinc.","1,498",9.1,1.5,0.3,71.6,25.3,32
F001811,"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified","Breakfast cereal made from toasted puffed or popped rice grains. Does not contain added salt, sugar, vitamins or minerals.","1,605",8.5,3,0.52,77.6,0.6,5
F001803,"Breakfast cereal, puffed or popped rice, added vitamins & minerals (Kellogg's Rice Bubbles)","Breakfast cereal made from toasted puffed or popped rice grains with added salt and sugar. Contains added vitamins B2, B3, C and folic acid, iron and zinc.","1,555",6.8,1.1,0.2,81.2,6.2,658
F001807,"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins & minerals (Kellogg's Coco Pops)","Chocolate flavoured puffed rice cereal with added sugar and salt. Contains added vitamins B1, B2, B3, C and folic acid, and calcium, iron and zinc.","1,640",5.3,2.9,1.14,83.2,30.4,496
F001871,"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified","Breakfast cereal made from puffed whole wheat. Does not contain any added sugar, salt or vitamins or minerals.","1,415",10,2.8,0.39,62.4,0.8,2
F001849,"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified","Breakfast cereal made from whole wheat and salt formed into a biscuit shape. Does not contain any added sugar, vitamins or minerals.","1,461",10.4,2.7,0.35,63.7,1.1,370
F001860,"Breakfast cereal, whole wheat, flakes, added vitamins & minerals (Weeties style)","Breakfast cereal made from whole wheat flakes with added salt. Contains added vitamins B1, B2, B3 and folic acid.","1,470",11.5,2,0.3,65,3.4,375
F001862,"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added vitamins & minerals (Uncle Toby's Fibre Plus)","Breakfast cereal made from whole wheat flakes with added wheat bran, dried fruit, nuts and salt. Contains added fibre, vitamins B1, B2, B3 and folic acid and calcium and iron.","1,515",9.1,3.3,0.38,65.6,25,98
F001823,"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins & minerals (Kellogg's Sultana Bran)","Breakfast cereal made from wheat bran flakes with added sultanas. Contains added vitamins B2, B3, B6 and folic acid and iron and zinc.","1,415",9.8,1.5,0.26,63.3,24.5,269
F009807,"Muesli, granola, toasted, added nuts & seeds, unfortified","Breakfast cereal made from rolled oats and/or other grains, with other ingredients such as nuts, coconut and seeds, and then toasted with the addition of vegetable oil. Does not contain fruit or added vitamins or minerals.","1,792",11.2,17.6,2.93,52.3,16.3,68
F009808,"Muesli, granola, non-oat based, toasted, added nuts & seeds, unfortified","Breakfast cereal made from grains other than oats, with other ingredients such as nuts, coconut and seeds, and then toasted with the addition of vegetable oil. Does not contain fruit or added vitamins or minerals.","1,860",11.9,18.8,2.01,53.5,8.7,59
F005856,"Muesli, toasted, added dried fruit & nuts, unfortified","Breakfast cereal made from rolled oats, dried fruit and other ingredients such as nuts, coconut and seeds, and then toasted with the addition of vegetable oil. Does not contain added vitamins or minerals.","1,702",8.9,13.3,2.41,56.6,21.7,33
F005857,"Muesli, untoasted or natural style, added dried fruit, unfortified","Breakfast cereal made from rolled oats, dried fruit (including sultanas, currants, apricot, pawpaw, banana, apple and pineapple) and other ingredients including wheat bran, wheat germ, sugar, and/or seeds. Includes mueslis with a small amount of added nuts (less than 3%) including almond, coconut, walnut, hazelnut and pecans. Does not contain added vitamins or minerals.","1,665",10.8,10.8,2.77,59.2,18.7,41
F002021,"Cake mix, plain, dry powder","Commercially prepared dry plain cake mix. Typical ingredients include wheat flour, maize starch, sugar, salt, dairy products, vegetable oils, flavours, colours and baking agents. Includes cake mixes labelled as madeira, tea cake or vanilla cake.","1,645",4.8,8.2,4.3,73.5,42.5,670
F002178,"Cake, sponge, plain, commercial, uniced, unfilled",Commercially prepared light sponge cake prepared with minimal added fat and with a significant proportion of eggs.,"1,403",7.5,8.2,2.54,56.5,32.5,320
F006700,"Pikelet or pancake, sweet, commercial","Commercially prepared pikelet. Contains added folic acid, iodised salt and thiamin.",926,5.7,4.3,0.64,38.4,13.8,359
F008173,"Scone, plain, commercial","Commercially prepared, dough-like product made from flour, water, sugar, fat and a raising agent.","1,406",7.9,8.5,3.09,55.2,6.5,968
F008174,"Scone, plain, homemade","Home prepared dough-like product made from common household ingredients such as flour, milk, sugar, fat, egg and a raising agent.","1,360",8,9.5,5.98,50.7,6.8,560
F000061,"Amaranth, grain, whole, uncooked","Very small, round grains, with a light sandy/beige colour.","1,550",15.2,6.4,1.62,56.7,3.8,2
F000379,"Barley, pearl, uncooked","Grain that has had the bran removed, then is steamed and polished. Uncooked.","1,464",9.9,3.1,0.5,62.9,1,10
F000378,"Barley, pearl, boiled, no added fat or salt","Grain that has had the bran removed, then is steamed and polished. Prepared by boiling in unsalted water until tender without the addition of fat or salt.",607,4.1,1.3,0.21,26.1,0.4,10
F000382,"BarleyMax, dry, uncooked","Grain that has been developed to be high in fibre. It has had the bran removed, then is steamed and pressed into flakes. Uncooked.","1,352",17,7.9,1.42,32.6,4.5,4
F001919,"Buckwheat groats, uncooked","Hulled, crushed, roasted kernels, used in a similar manner to rice. Uncooked.","1,369",12.8,3.2,0.57,58.2,1.4,1
F001918,"Buckwheat groats, cooked in water, no added salt","Buck wheat, hulled, crushed, roasted kernels, used in a similar manner to rice. Cooked in unsalted water without the addition of fat or salt.",291,2.7,0.7,0.12,12.4,0.3,2
F001929,"Bulgur, uncooked","A quick-cooking form of whole wheat that has been cleaned, parboiled, dried, ground into particles and sifted into distinct sizes (fine, medium and course grinds). As purchased, not cooked.","1,434",10.3,2,0.29,66.1,1,3
F001928,"Bulgur, soaked in water, no added fat or salt","A quick-cooking form of whole wheat that have been cleaned, parboiled, dried, ground into particles and sifted into distinct sizes (fine, medium and course grinds). Prepared by soaking in unsalted water.",757,5.4,1.3,0.19,34.4,0.5,2
